ville,timestamp,latitude,longitude,temperature,temp_ressentie,temp_min,temp_max,humidite,pression,vent_vitesse,vent_direction,nuages,description_meteo,visibilite,aqi,aqi_label,pm2_5,pm10,no2,o3,co,so2
Casablanca,2026-05-08 19:38:25,33.5928,-7.6192,19.13,18.74,19.07,19.19,63,1011,4.12,300,0,ciel dégagé,10000,3,Modéré,1.17,4.97,0.69,103.43,106.44,1.34
Rabat,2026-05-08 19:38:28,33.9911,-6.8401,19.04,18.64,19.04,19.04,63,1010,2.06,320,75,nuageux,8000,3,Modéré,3.9,8.93,2.13,104.25,105.58,4.22
Marrakech,2026-05-08 19:38:31,31.6315,-8.0083,22.04,21.5,22.04,22.04,46,1011,6.69,290,0,ciel dégagé,10000,3,Modéré,2.37,8.36,1.31,101.15,103.67,1.15
Fes,2026-05-08 19:38:34,34.0372,-4.9998,23.14,22.79,23.14,23.14,49,1008,3.09,340,75,nuageux,10000,2,Correct,4.99,10.49,0.95,90.74,98.58,0.75
Casablanca,2026-05-08 19:39:51,33.5928,-7.6192,19.13,18.74,19.07,19.19,63,1011,4.12,300,0,ciel dégagé,10000,3,Modéré,1.17,4.97,0.69,103.43,106.44,1.34
Rabat,2026-05-08 19:39:54,33.9911,-6.8401,19.04,18.64,19.04,19.04,63,1010,2.06,320,75,nuageux,8000,3,Modéré,3.9,8.93,2.13,104.25,105.58,4.22
Marrakech,2026-05-08 19:39:56,31.6315,-8.0083,22.04,21.5,22.04,22.04,46,1011,6.69,290,0,ciel dégagé,10000,3,Modéré,2.37,8.36,1.31,101.15,103.67,1.15
Fes,2026-05-08 19:39:58,34.0372,-4.9998,23.14,22.79,23.14,23.14,49,1008,3.09,340,75,nuageux,10000,2,Correct,4.99,10.49,0.95,90.74,98.58,0.75
Casablanca,2026-05-08 20:40:01,33.5928,-7.6192,18.65,18.22,18.19,19.12,63,1012,4.12,310,75,nuageux,10000,3,Modéré,1.27,5.51,0.72,102.4,107.57,1.31
Rabat,2026-05-08 20:40:04,33.9911,-6.8401,18.04,17.54,18.04,18.04,63,1011,1.54,300,75,nuageux,8000,3,Modéré,3.15,8.03,2.16,101.28,106.18,3.97
Marrakech,2026-05-08 20:40:07,31.6315,-8.0083,20.04,19.38,20.04,20.04,49,1012,6.17,290,0,ciel dégagé,10000,2,Correct,2.23,8.29,2.01,94.9,104.79,1.0
Fes,2026-05-08 20:40:09,34.0372,-4.9998,21.14,20.77,21.14,21.14,56,1009,3.09,310,75,nuageux,10000,2,Correct,5.29,10.76,1.12,88.39,99.37,0.82
Casablanca,2026-05-08 21:40:12,33.5928,-7.6192,18.07,17.68,17.96,18.19,67,1012,3.09,290,100,couvert,10000,3,Modéré,1.38,6.21,0.7,102.04,108.71,1.22
Rabat,2026-05-08 21:40:14,33.9911,-6.8401,18.04,17.68,18.04,18.04,68,1012,2.06,250,75,nuageux,8000,2,Correct,2.6,7.57,2.0,99.64,106.93,3.66
Marrakech,2026-05-08 21:40:17,31.6315,-8.0083,18.04,17.34,18.04,18.04,55,1013,5.66,310,40,partiellement nuageux,10000,2,Correct,2.15,8.4,2.41,90.71,105.92,0.9
Fes,2026-05-08 21:40:20,34.0372,-4.9998,18.14,17.76,18.14,18.14,67,1011,5.14,310,40,partiellement nuageux,10000,2,Correct,5.63,10.92,1.29,86.33,100.25,0.93
Casablanca,2026-05-08 22:40:22,33.5928,-7.6192,17.02,16.53,16.85,17.19,67,1012,2.06,260,100,couvert,10000,3,Modéré,1.49,7.0,0.66,101.1,108.65,1.04
Rabat,2026-05-08 22:40:24,33.9911,-6.8401,17.04,16.81,17.04,17.04,77,1012,2.06,240,75,nuageux,8000,2,Correct,2.26,7.5,1.79,97.23,105.92,3.23
Marrakech,2026-05-08 22:40:26,31.6315,-8.0083,17.04,16.24,17.04,17.04,55,1014,4.12,280,40,partiellement nuageux,10000,2,Correct,2.11,8.57,2.6,86.9,104.68,0.85
Fes,2026-05-08 22:40:28,34.0372,-4.9998,17.14,16.79,17.14,17.14,72,1011,5.14,280,40,partiellement nuageux,10000,2,Correct,5.82,10.78,1.4,82.69,99.23,0.97
Casablanca,2026-05-08 23:40:30,33.5928,-7.6192,17.96,17.35,17.96,18.19,59,1012,1.03,0,100,couvert,10000,3,Modéré,1.59,7.78,0.59,101.18,109.0,0.86
Rabat,2026-05-08 23:40:31,33.9911,-6.8401,17.04,16.81,17.04,17.04,77,1012,1.54,220,75,nuageux,8000,2,Correct,2.15,8.06,1.55,96.57,106.21,2.75
Marrakech,2026-05-08 23:40:33,31.6315,-8.0083,16.04,15.03,16.04,16.04,51,1014,3.6,260,75,nuageux,10000,2,Correct,2.11,8.86,2.58,85.21,104.72,0.76
Fes,2026-05-08 23:40:35,34.0372,-4.9998,16.14,15.82,16.14,16.14,77,1012,4.12,270,20,peu nuageux,10000,2,Correct,6.07,10.84,1.39,81.05,99.6,0.98
Casablanca,2026-05-09 01:06:20,33.5928,-7.6192,17.59,16.95,16.12,17.96,59,1012,1.54,200,100,couvert,10000,3,Modéré,1.67,8.36,0.49,101.25,109.35,0.68
Rabat,2026-05-09 01:06:22,33.9911,-6.8401,16.04,15.84,16.04,16.04,82,1012,2.06,190,75,nuageux,8000,2,Correct,2.13,8.97,1.2,96.47,106.7,2.2
Marrakech,2026-05-09 01:06:24,31.6315,-8.0083,15.04,14.11,15.04,15.04,58,1014,1.54,220,75,nuageux,10000,2,Correct,2.09,8.97,2.21,84.94,104.67,0.65
Fes,2026-05-09 01:06:26,34.0372,-4.9998,16.14,15.56,16.14,16.14,67,1012,4.12,260,40,partiellement nuageux,10000,2,Correct,6.39,11.06,1.22,80.41,100.06,1.0
Casablanca,2026-05-09 13:04:50,33.5928,-7.6192,23.19,22.61,23.19,24.12,40,1013,4.63,270,75,nuageux,6000,3,Modéré,1.0,3.47,0.17,103.15,108.59,0.43
Rabat,2026-05-09 13:04:52,33.9911,-6.8401,23.04,22.78,23.04,23.04,53,1013,5.66,240,40,partiellement nuageux,6000,3,Modéré,1.13,4.16,0.28,100.51,105.59,0.69
Marrakech,2026-05-09 13:04:53,31.6315,-8.0083,24.04,23.41,24.04,24.04,35,1013,5.14,280,40,partiellement nuageux,10000,2,Correct,1.11,4.72,0.18,93.98,100.32,0.21
Fes,2026-05-09 13:04:55,34.0372,-4.9998,22.14,21.53,22.14,22.14,43,1013,4.12,290,40,partiellement nuageux,10000,2,Correct,0.73,2.28,0.12,94.44,94.47,0.12
Casablanca,2026-05-09 14:04:59,33.5928,-7.6192,23.19,22.84,23.19,25.12,49,1013,4.12,310,75,nuageux,6000,3,Modéré,1.02,3.53,0.17,104.46,109.63,0.43
Rabat,2026-05-09 14:05:01,33.9911,-6.8401,22.04,21.87,22.04,22.04,60,1013,6.17,250,40,partiellement nuageux,6000,3,Modéré,1.09,3.88,0.28,102.26,106.48,0.71
Marrakech,2026-05-09 14:05:04,31.6315,-8.0083,25.04,24.46,25.04,25.04,33,1013,6.69,270,40,partiellement nuageux,10000,2,Correct,1.12,4.52,0.17,95.17,101.83,0.22
Fes,2026-05-09 14:05:06,34.0372,-4.9998,24.14,23.42,24.14,24.14,31,1012,6.69,280,40,partiellement nuageux,10000,2,Correct,0.68,2.21,0.11,94.38,94.6,0.1
Casablanca,2026-05-09 15:05:09,33.5928,-7.6192,21.19,20.93,21.19,26.12,60,1013,7.72,300,75,poussière,4000,3,Modéré,1.0,3.39,0.17,103.92,108.75,0.4
Rabat,2026-05-09 15:05:11,33.9911,-6.8401,22.04,21.87,22.04,22.04,60,1013,5.66,250,40,partiellement nuageux,6000,3,Modéré,1.05,3.8,0.27,102.54,105.93,0.65
Marrakech,2026-05-09 15:05:14,31.6315,-8.0083,24.04,23.62,24.04,24.04,43,1012,5.66,300,40,partiellement nuageux,10000,2,Correct,0.98,3.83,0.15,95.89,102.35,0.2
Fes,2026-05-09 15:05:17,34.0372,-4.9998,25.14,24.47,25.14,25.14,29,1012,6.17,270,40,partiellement nuageux,10000,2,Correct,0.77,2.77,0.11,94.44,93.73,0.1
Casablanca,2026-05-09 21:56:40,33.5928,-7.6192,18.07,17.94,17.96,18.19,77,1016,3.09,290,2,ciel dégagé,10000,2,Correct,2.38,9.58,0.63,96.01,113.87,0.95
Rabat,2026-05-09 21:56:43,33.9911,-6.8401,17.04,17.25,17.04,17.04,94,1016,2.57,230,40,partiellement nuageux,6000,2,Correct,2.19,8.62,1.23,95.97,112.02,2.16
Marrakech,2026-05-09 21:56:45,31.6315,-8.0083,19.04,18.44,19.04,19.04,55,1017,4.63,280,40,partiellement nuageux,10000,2,Correct,1.55,6.29,1.57,86.53,108.27,0.41
Fes,2026-05-09 21:56:48,34.0372,-4.9998,17.14,16.79,17.14,17.14,72,1017,2.57,310,75,nuageux,10000,2,Correct,1.15,3.95,0.95,74.92,95.97,0.17
Casablanca,2026-05-09 22:56:52,33.5928,-7.6192,18.07,17.81,17.12,18.19,72,1017,3.09,280,6,ciel dégagé,10000,2,Correct,2.51,10.25,0.67,93.1,112.89,0.87
Rabat,2026-05-09 22:56:55,33.9911,-6.8401,17.04,17.25,17.04,17.04,94,1017,2.06,220,40,partiellement nuageux,6000,2,Correct,2.4,9.36,1.32,92.44,111.43,2.15
Marrakech,2026-05-09 22:56:57,31.6315,-8.0083,17.04,16.44,17.04,17.04,63,1017,3.6,280,40,partiellement nuageux,10000,2,Correct,1.72,7.06,1.87,81.33,108.01,0.42
Fes,2026-05-09 22:57:00,34.0372,-4.9998,16.14,15.82,16.14,16.14,77,1018,2.57,310,40,partiellement nuageux,10000,2,Correct,1.15,3.89,1.11,70.7,95.56,0.16
Casablanca,2026-05-09 23:57:02,33.5928,-7.6192,18.07,17.81,16.12,18.19,72,1017,2.57,260,10,ciel dégagé,10000,2,Correct,2.72,11.22,0.71,90.71,113.57,0.74
Rabat,2026-05-09 23:57:04,33.9911,-6.8401,17.04,17.25,17.04,17.04,94,1017,2.06,220,40,partiellement nuageux,6000,2,Correct,2.62,10.24,1.36,90.03,111.98,2.0
Marrakech,2026-05-09 23:57:06,31.6315,-8.0083,16.04,15.34,16.04,16.04,63,1018,2.57,270,40,partiellement nuageux,10000,2,Correct,1.87,7.74,2.08,76.02,108.25,0.37
Fes,2026-05-09 23:57:08,34.0372,-4.9998,16.14,15.95,16.14,16.14,82,1018,2.06,300,75,nuageux,10000,2,Correct,1.13,3.71,1.21,67.93,95.85,0.14
Casablanca,2026-05-10 00:57:11,33.5928,-7.6192,17.02,16.92,15.12,17.19,82,1017,2.06,260,23,peu nuageux,10000,2,Correct,2.97,12.46,0.7,88.76,114.53,0.6
Rabat,2026-05-10 00:57:13,33.9911,-6.8401,17.04,17.25,17.04,17.04,94,1017,2.57,210,40,partiellement nuageux,6000,2,Correct,2.84,11.22,1.27,88.03,112.35,1.79
Marrakech,2026-05-10 00:57:15,31.6315,-8.0083,16.04,15.34,16.04,16.04,63,1017,1.54,250,20,peu nuageux,10000,2,Correct,1.97,8.25,2.04,72.17,108.31,0.32
Fes,2026-05-10 00:57:18,34.0372,-4.9998,16.14,15.95,16.14,16.14,82,1017,2.57,300,75,nuageux,10000,2,Correct,1.07,3.42,1.21,65.76,96.29,0.13
Casablanca,2026-05-10 14:06:34,33.5928,-7.6192,21.19,20.83,21.19,25.12,56,1016,4.63,310,75,nuageux,8000,2,Correct,1.67,7.0,0.2,93.32,103.91,0.92
Rabat,2026-05-10 14:06:36,33.9911,-6.8401,21.04,20.66,21.04,21.04,56,1016,3.6,250,75,nuageux,6000,2,Correct,2.75,11.16,0.33,95.17,103.68,1.55
Marrakech,2026-05-10 14:06:38,31.6315,-8.0083,23.04,22.6,23.04,23.04,46,1015,2.57,0,0,ciel dégagé,10000,3,Modéré,1.92,6.89,0.23,118.37,105.63,0.38
Fes,2026-05-10 14:06:41,34.0372,-4.9998,23.14,22.71,23.14,23.14,46,1015,3.6,310,75,nuageux,10000,2,Correct,1.64,5.35,0.13,95.53,100.35,0.22
Casablanca,2026-05-10 15:17:58,33.5928,-7.6192,20.18,19.82,20.18,21.19,60,1016,4.92,320,75,nuageux,8000,2,Correct,1.35,5.45,0.2,93.18,101.94,0.98
